run_tag,strategy,profile,concurrency,endpoint,method,requests,failures,rps,avg_ms,p50_ms,p95_ms,p99_ms
pessimistic_lock_mixed_c20_rep1,pessimistic_lock,mixed,20,/metrics/consistency [GET],GET,49,0,12.25,45.68,48.0,67.0,68.0
pessimistic_lock_mixed_c20_rep1,pessimistic_lock,mixed,20,/reservations/:id/release [POST],POST,104,0,26.0,52.59,56.0,77.0,87.0
pessimistic_lock_mixed_c20_rep2,pessimistic_lock,mixed,20,/items [GET],GET,1011,0,72.06,47.99,48.0,68.0,81.0
pessimistic_lock_mixed_c20_rep2,pessimistic_lock,mixed,20,/items/:id [GET],GET,1113,0,79.33,44.04,44.0,64.0,77.0
pessimistic_lock_mixed_c20_rep2,pessimistic_lock,mixed,20,/items/:id/reserve [POST],POST,1238,49,88.24,64.03,65.0,86.0,100.0
pessimistic_lock_mixed_c20_rep2,pessimistic_lock,mixed,20,/metrics/consistency [GET],GET,155,0,11.05,58.75,61.0,80.0,88.0
pessimistic_lock_mixed_c20_rep2,pessimistic_lock,mixed,20,/reservations/:id/release [POST],POST,328,0,23.38,65.9,68.0,92.0,110.0
pessimistic_lock_mixed_c50_rep1,pessimistic_lock,mixed,50,/items [GET],GET,1054,0,75.09,145.08,150.0,170.0,180.0
pessimistic_lock_mixed_c50_rep1,pessimistic_lock,mixed,50,/items/:id [GET],GET,1122,0,79.94,141.82,140.0,170.0,180.0
pessimistic_lock_mixed_c50_rep1,pessimistic_lock,mixed,50,/items/:id/reserve [POST],POST,1279,31,91.12,164.05,170.0,190.0,200.0
pessimistic_lock_mixed_c50_rep1,pessimistic_lock,mixed,50,/metrics/consistency [GET],GET,185,0,13.18,157.82,160.0,180.0,200.0
pessimistic_lock_mixed_c50_rep1,pessimistic_lock,mixed,50,/reservations/:id/release [POST],POST,346,0,24.65,168.18,170.0,190.0,210.0
pessimistic_lock_mixed_c50_rep2,pessimistic_lock,mixed,50,/items [GET],GET,1128,0,80.4,141.67,150.0,170.0,200.0
pessimistic_lock_mixed_c50_rep2,pessimistic_lock,mixed,50,/items/:id [GET],GET,1141,0,81.33,138.43,140.0,160.0,190.0
pessimistic_lock_mixed_c50_rep2,pessimistic_lock,mixed,50,/items/:id/reserve [POST],POST,1296,38,92.37,159.49,160.0,190.0,220.0
pessimistic_lock_mixed_c50_rep2,pessimistic_lock,mixed,50,/metrics/consistency [GET],GET,178,0,12.69,157.37,160.0,190.0,200.0
pessimistic_lock_mixed_c50_rep2,pessimistic_lock,mixed,50,/reservations/:id/release [POST],POST,332,0,23.66,164.99,170.0,190.0,220.0
pessimistic_lock_mixed_c5_rep1,pessimistic_lock,mixed,5,/items [GET],GET,188,0,46.72,7.88,7.0,12.0,14.0
